agent,feature_group,seed,split,final_portfolio_value,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown,num_trades,turnover,win_rate,mean_reward,std_reward,total_reward
BuyHold,N/A,0,test,0.00029759828924080095,-0.9999999702401711,-0.9712913951149156,65.04433702101049,1.1361041671166636,-0.9999999999998918,1.0,0.0008130081300813008,0.5,-0.014089517378468988,0.6079411574136026,-17.330106375516856
Cash,N/A,0,test,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMA20_200,N/A,0,test,0.0006796434762044597,-0.9999999320356524,-0.9659989954512481,65.01733190168878,1.1212847357354159,-0.9999999999997526,3.0,0.0024390243902439024,0.49105691056910566,-0.013418115909725836,0.6013337771677232,-16.50428256896278
Q-Learning,Q_F1_returns_only,42,test,2.3179097207464923e-05,-0.9999999976820902,-0.9829824191360821,64.92035495514111,1.0511465361304309,-0.9999999999999941,229.0,0.1861788617886179,0.45121951219512196,-0.01616471547953958,0.5785965698542025,-19.882600039833687
Q-Learning,Q_F3_momentum,42,test,93712.77755662848,8.371277755662849,0.5816130657116974,63.96983298985406,0.7028115616348108,-0.9999986041235488,452.0,0.367479674796748,0.15528455284552845,0.0018192271980646353,0.3611965421761397,2.2376494536195013
Q-Learning,Q_F5_volatility,42,test,306526.9620855844,29.652696208558442,1.0162519617161458,10.464329503536808,1.248380823909365,-0.9987310619842379,332.0,0.26991869918699185,0.09268292682926829,0.002782699696069996,0.2692162914363602,3.422720626166095
DQN,F1_returns_only,42,test,2.676037017806384e-05,-0.9999999973239629,-0.9824740603562082,64.99787103392501,1.0888442098458087,-0.999999999999952,93.0,0.07560975609756097,0.47073170731707314,-0.016047909643508232,0.5922301536300325,-19.738928861515127
DQN,F2_returns_volume,42,test,2.7245148055350444e-05,-0.9999999972754852,-0.9824094767897388,64.88742581507901,1.0766487784555812,-0.9999999999999896,91.0,0.07398373983739838,0.4691056910569106,-0.016033313396503403,0.5904245090831798,-19.720975477699184
DQN,F3_momentum,42,test,0.0004289073912860375,-0.9999999571092608,-0.9690590947415236,64.88295472397375,1.0860009692488406,-0.99999999999993,55.0,0.044715447154471545,0.47560975609756095,-0.013792365776783807,0.590757409543644,-16.96460990544408
DQN,F4_trend,42,test,0.000160336711171784,-0.9999999839663288,-0.9747080470746822,64.8753362223647,1.0704747882508432,-0.999999999999606,65.0,0.052845528455284556,0.4609756097560976,-0.014592337301727838,0.5845120430008979,-17.94857488112524
DQN,F5_volatility,42,test,0.002365886454449358,-0.9999997634113545,-0.9560987588463747,64.98919824322635,1.0923840165511765,-0.9999999999942453,91.0,0.07398373983739838,0.46991869918699186,-0.01240401859924015,0.5855254665739315,-15.256942877065384
DQN,F6_all_indicators,42,test,1.1775462313769306e-06,-0.9999999998822454,-0.9907580984138358,64.84416286548083,1.0349382160531428,-0.9999999999999969,109.0,0.0886178861788618,0.4479674796747967,-0.01858733180608691,0.5781217589293263,-22.8624181214869
